pesticide,pathway_name,microorganism,completeness,step_order,substrate,product,reaction_label,enzyme,gene,evidence_type,doi,reference_title,source_pdf,evidence_note
2-Phenylphenol,2-Phenylphenol degradation - Pseudomonas azelaica HBP1,Pseudomonas azelaica HBP1,PARTIAL,1,2-Hydroxybiphenyl,"2,3-Dihydroxybiphenyl",HbpA / 2-hydroxybiphenyl 3-monooxygenase,HbpA / 2-hydroxybiphenyl 3-monooxygenase,hbpA,GENETIC,10.1128/JB.183-1.270-279.2001; 10.1128/AEM.54.11.2683-2688.1988,2-Phenylphenol pathway evidence - Pseudomonas azelaica HBP1,Curated package row OPP-S01,Initial NADH-dependent ortho hydroxylation step.
2-Phenylphenol,2-Phenylphenol degradation - Pseudomonas azelaica HBP1,Pseudomonas azelaica HBP1,PARTIAL,2,"2,3-Dihydroxybiphenyl","2-Hydroxy-6-oxo-6-phenyl-2,4-hexadienoic acid",HbpC / extradiol meta-cleavage dioxygenase,HbpC / extradiol meta-cleavage dioxygenase,hbpC,GENETIC,10.1128/JB.183-1.270-279.2001,2-Phenylphenol pathway evidence - Pseudomonas azelaica HBP1,Curated package row OPP-S02,"Meta-cleavage product from 2,3-dihydroxybiphenyl."
2-Phenylphenol,2-Phenylphenol degradation - Pseudomonas azelaica HBP1,Pseudomonas azelaica HBP1,PARTIAL,3,"2-Hydroxy-6-oxo-6-phenyl-2,4-hexadienoic acid","Benzoic acid + 2-hydroxy-2,4-pentadienoic acid",HbpD / hydrolase,HbpD / hydrolase,hbpD,GENETIC,10.1128/JB.183-1.270-279.2001,2-Phenylphenol pathway evidence - Pseudomonas azelaica HBP1,Curated package row OPP-S03,Hydrolytic step described in hbpCAD figure.
Acephate,Acephate degradation - Pseudomonas aeruginosa Is-6,Pseudomonas aeruginosa strain Is-6,PARTIAL,1,Acephate,Methamidophos,Carboxylesterase proposed,Carboxylesterase proposed,,METABOLITE,10.1080/03601234.2013.836868,Acephate pathway evidence - Pseudomonas aeruginosa Is-6,Curated package row ACE-S01,Transient methamidophos detected by HPLC/ESI-MS.
Acephate,Acephate degradation - Pseudomonas aeruginosa Is-6,Pseudomonas aeruginosa strain Is-6,PARTIAL,2,Methamidophos,"O,S-dimethyl phosphorothioate (DMPT)",Methamidophos phosphoamide hydrolase proposed,Methamidophos phosphoamide hydrolase proposed,,METABOLITE,10.1080/03601234.2013.836868,Acephate pathway evidence - Pseudomonas aeruginosa Is-6,Curated package row ACE-S02,DMPT was detected in trace/transient amounts.
Acephate,Acephate degradation - Pseudomonas aeruginosa Is-6,Pseudomonas aeruginosa strain Is-6,PARTIAL,3,"O,S-dimethyl phosphorothioate (DMPT)",Phosphoric acid + CO2,Proposed/mineralization endpoint,,,PROPOSED,10.1080/03601234.2013.836868,Acephate pathway evidence - Pseudomonas aeruginosa Is-6,Curated package row ACE-S03,Final transformation proposed from mineralization logic; not all final products directly quantified.
Acephate,Acephate degradation - Bacillus paramycoides NDZ,Bacillus paramycoides NDZ,PARTIAL,1,Acephate,Methamidophos,Amidase proposed,Amidase proposed,,METABOLITE,10.1007/s11274-020-02931-1,Acephate pathway evidence - Bacillus paramycoides NDZ,Curated package row ACE-S04,Methamidophos identified by GC-MS as main metabolite.
Acephate,Acephate degradation - Bacillus paramycoides NDZ,Bacillus paramycoides NDZ,PARTIAL,2,Methamidophos,"O,S-dimethyl hydrogen phosphorothioate",Phosphotriesterase/amidase proposed,Phosphotriesterase/amidase proposed,,PROPOSED,10.1007/s11274-020-02931-1,Acephate pathway evidence - Bacillus paramycoides NDZ,Curated package row ACE-S05,Downstream route inferred; not all downstream compounds directly detected in NDZ culture.
Acephate,Acephate degradation - Insect gut isolates - Enterobacter asburiae PXE,Enterobacter asburiae PXE,PARTIAL,1,Acephate,"Methamidophos + O,O-dimethyl phosphoramidate",Detected metabolites in whole-cell isolate,,,METABOLITE,,Acephate pathway evidence - Insect gut isolates,Curated package row ACE-S06,LC-MS product assignment; DOI not found in provided PDF.
Acephate,Acephate degradation - Insect gut isolates - Bacillus cereus PX-B.C.Or,Bacillus cereus PX-B.C.Or,PARTIAL,1,Acephate,"O,S-dimethyl phosphoramidothioate",Detected metabolite in whole-cell isolate,,,METABOLITE,,Acephate pathway evidence - Insect gut isolates,Curated package row ACE-S07,LC-MS product assignment.
Acephate,Acephate degradation - Pseudomonas ACP isolates,Pseudomonas azotoformans ACP1; P. aeruginosa ACP2; P. putida ACP3,PARTIAL,1,Acephate,Methamidophos,Detected metabolite in whole-cell isolates,,,METABOLITE,10.3390/biom10030433,Acephate pathway evidence - Pseudomonas ACP isolates,Curated package row ACE-S09,One of several products in MS/FTIR pathway.
Acephate,Acephate degradation - Pseudomonas ACP isolates,Pseudomonas azotoformans ACP1; P. aeruginosa ACP2; P. putida ACP3,PARTIAL,2,Methamidophos,S-methyl O-hydrogen phosphorothioamidate,Detected metabolite/proposed pathway,,,METABOLITE,10.3390/biom10030433,Acephate pathway evidence - Pseudomonas ACP isolates,Curated package row ACE-S10,Major product listed with m/z 125.0.
Acephate,Acephate degradation - Pseudomonas ACP isolates,Pseudomonas azotoformans ACP1; P. aeruginosa ACP2; P. putida ACP3,PARTIAL,3,S-methyl O-hydrogen phosphorothioamidate,Phosphenothioic S-acid + phosphenamide,Detected metabolites/proposed pathway,,,PROPOSED,10.3390/biom10030433,Acephate pathway evidence - Pseudomonas ACP isolates,Curated package row ACE-S11,Products reported; exact step order should be checked against Figure 5 before final database integration.
Acephate,Acephate degradation - Microbial consortium ZQ01,Microbial consortium ZQ01,PARTIAL,1,Acephate,Methamidophos,Hydrolytic enzyme inferred,Hydrolytic enzyme inferred,,METABOLITE,10.1016/j.jhazmat.2021.127841,Acephate pathway evidence - Microbial consortium ZQ01,Curated package row ACE-S12,Part of novel pathway; enzyme/gene not assigned.
Acephate,Acephate degradation - Microbial consortium ZQ01,Microbial consortium ZQ01,PARTIAL,2,Acephate,Acetamide + acetic acid,Hydrolytic/oxidative reactions inferred,Hydrolytic/oxidative reactions inferred,,METABOLITE,10.1016/j.jhazmat.2021.127841,Acephate pathway evidence - Microbial consortium ZQ01,Curated package row ACE-S13,Acetamide and acetic acid detected; pathway includes C-N bond breakage and oxidation.
Acephate,Acephate degradation - Microbial consortium ZQ01,Microbial consortium ZQ01,PARTIAL,3,Acephate/methanethiol route,Methanethiol + dimethyl disulfide,Detected metabolites,,,PROPOSED,10.1016/j.jhazmat.2021.127841,Acephate pathway evidence - Microbial consortium ZQ01,Curated package row ACE-S14,Keep as proposed branch until exact reaction order is checked from figure/supplement.
