pesticide,pathway_name,microorganism,completeness,step_order,substrate,product,reaction_label,enzyme,gene,evidence_type,doi,reference_title,source_pdf,evidence_note
Dimethoate,Sphingomonas sp. DC-6 dimethoate amidohydrolase pathway,Sphingomonas sp. DC-6,PARTIAL,1,Dimethoate,Dimethoate hydrolysis products,Amidohydrolase-mediated hydrolysis,Dimethoate amidohydrolase,dmhA,PURIFIED_ENZYME,10.1007/s10529-015-2027-6,Database DOI record for dimethoate amidohydrolase in Sphingomonas sp. DC-6,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx and PBDB_master_with_ids.xlsx. The database supports purified/kinetic dimethoate amidohydrolase evidence; the exact product names are kept conservative because they are not standardized in the current source table.
Pinoxaden,Acinetobacter pittobacter T4P20-1 pinoxaden degradation evidence,Acinetobacter pittobacter strain T4P20-1,PARTIAL,1,Pinoxaden,Microbial transformation products not resolved in current database source,Whole-cell degradation with predicted associated genes,Predicted degradation-associated proteins,psd; tgt; pyrF; hemF; phnX; folE,WHOLE_CELL,10.21203/rs.3.rs-1375498/v1,Database DOI record for pinoxaden degradation by Acinetobacter pittobacter strain T4P20-1,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,"This DOI is present in pesticide_data.xlsx. The current database source supports degradation and predicted genes, but does not store named transformation products; therefore this is represented as a conservative evidence node rather than a complete metabolite pathway."
Fenamiphos,Microbacterium esteraromaticum fenamiphos hydrolysis evidence,Microbacterium esteraromaticum,PARTIAL,1,Fenamiphos,Fenamiphos hydrolysis products,Organophosphorus hydrolase / esterase activity,Organophosphorus hydrolase / esterase,,WHOLE_CELL,10.1016/j.biortech.2008.12.043,Database DOI record for fenamiphos degradation by Microbacterium esteraromaticum,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports hydrolytic degradation evidence; product labels remain conservative until exact metabolites are curated from the source article.
Phosphonic acid,Escherichia coli phosphonic acid C-P lyase pathway,Escherichia coli,PARTIAL,1,Phosphonic acid,C-P bond cleavage products,C-P lyase-mediated phosphonate utilization,C-P lyase,phnC-phnP,GENETIC,10.1128/JB.01131-09,Database DOI record for phn operon-associated phosphonic acid utilization,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports genetic C-P lyase evidence; products are kept as a conservative cleavage-product label because the database source does not define a single pesticide-style metabolite.
Isoxaflutole,White-rot fungus isoxaflutole oxidative degradation evidence,Phanerochaete chrysosporium (ATCC 24725); Trametes versicolor,PARTIAL,1,Isoxaflutole,Oxidative transformation products not resolved in current database source,Laccase/peroxidase-associated oxidative transformation,Laccase; lignin peroxidase; manganese peroxidase,EC 1.10.3.2; LiP; MnP; bphA1; benA; bph; p450; ppah,WHOLE_CELL,10.1021/jf000397q,Database DOI record for fungal isoxaflutole degradation,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports fungal oxidative degradation evidence; exact intermediates are not standardized in the current source table.
Quinclorac,Burkholderia cepacia WZ1 quinclorac aromatic-ring degradation evidence,Burkholderia cepacia WZ1,PARTIAL,1,Quinclorac,Chlorinated aromatic ring-cleavage products,Dioxygenase/reductase-associated aromatic degradation,"Phthalate dioxygenase reductase; chlorocatechol 1,2-dioxygenase",,WHOLE_CELL,10.1016/j.soilbio.2008.10.026,Database DOI record for quinclorac degradation by Burkholderia cepacia WZ1,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports dioxygenase-linked quinclorac degradation; the product label is conservative because named metabolites are not stored in the current source table.
Cyfluthrin/beta-cyfluthrin,Bacillus subtilis BSF01 beta-cyfluthrin carboxylesterase pathway,Bacillus subtilis BSF01,PARTIAL,1,Cyfluthrin/beta-cyfluthrin,Pyrethroid ester-cleavage products,Carboxylesterase-mediated ester hydrolysis,Carboxylesterase assay system,cesB,GENETIC,10.3389/fbioe.2020.00889,Database DOI record for Bacillus subtilis BSF01 beta-cyfluthrin carboxylesterase,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports cesB-linked carboxylesterase activity; product names are kept broad until exact pyrethroid cleavage metabolites are curated from the article.
Profenofos,Cupriavidus nantongensis X1 profenofos organophosphate hydrolase pathway,Cupriavidus nantongensis X1T,PARTIAL,1,Profenofos,Profenofos hydrolysis products,Organophosphate hydrolase-mediated hydrolysis,Organophosphate hydrolase OpdB,opdB,GENETIC,10.1021/acs.jafc.0c00132,Database DOI record for OpdB-mediated profenofos degradation,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports OpdB-linked profenofos hydrolysis; exact product naming is deferred until metabolite names are standardized in the source data.
Endrin,Burkholderia and Cupriavidus endrin degradation evidence,Burkholderia sp. strain MED-7; Cupriavidus sp. strain MED-5,PARTIAL,1,Endrin,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1007/s00253-008-1670-4,Database DOI record for bacterial endrin degradation,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports whole-cell endrin degradation but does not store named intermediates in the current source table.
Phorate,Ralstonia eutropha AAJ1 phorate phosphatase degradation evidence,Ralstonia eutropha AAJ1,PARTIAL,1,Phorate,Phorate phosphoester-cleavage products,Phosphomonoesterase/phosphodiesterase-associated transformation,Phosphomonoesterase; phosphodiesterase,,WHOLE_CELL,10.1111/j.1472-765X.2009.02631.x,Database DOI record for phosphatase-associated phorate degradation,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports phosphatase-associated degradation evidence; product naming is conservative because exact metabolites are not stored in the current source table.
