pesticide,pathway_name,microorganism,completeness,step_order,substrate,product,reaction_label,enzyme,gene,evidence_type,doi,reference_title,source_pdf,evidence_note
Captan,Bacillus circulans Captan degradation evidence,Bacillus circulans,PARTIAL,1,Captan,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1021/jf1030339,Database DOI record for captan degradation by Bacillus circulans,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial captan degradation; exact transformation products are not standardized in the current source table.
Chlordane,Phanerochaete chrysosporium BKM-F-1767 Chlordane degradation evidence,Phanerochaete chrysosporium BKM-F-1767,PARTIAL,1,Chlordane,Fungal oxidative transformation products not resolved in current database source,White-rot fungal transformation,,,WHOLE_CELL,10.1128/aem.56.8.2347-2353.1990,Database DOI record for chlordane degradation by Phanerochaete chrysosporium,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports fungal chlordane degradation; exact metabolites are not standardized in the current source table.
Cyprodinil,Acinetobacter johnsonii LXL_C1 Cyprodinil degradation evidence,Acinetobacter johnsonii LXL_C1,PARTIAL,1,Cyprodinil,Cytochrome P450-associated transformation products,Genomic cytochrome P450-associated transformation,Cytochrome P450 monooxygenase,frmA; ADH5; adhC; catA,GENETIC,10.1016/j.micpath.2018.11.016,Database DOI record for cyprodinil-associated genomic evidence in Acinetobacter johnsonii,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports genomic/P450-associated evidence; exact products are not standardized in the current source table.
Dimethomorph,Bacillus cereus WL08 Dimethomorph degradation evidence,Bacillus cereus WL08,PARTIAL,1,Dimethomorph,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1016/j.jhazmat.2020.122806,Database DOI record for dimethomorph degradation by Bacillus cereus WL08,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial degradation; exact transformation products are not standardized in the current source table.
Diquat,Meyerozyma guilliermondii strain Wyslmt Diquat degradation evidence,Meyerozyma guilliermondii strain Wyslmt,PARTIAL,1,Diquat,Microbial transformation products not resolved in current database source,Whole-cell degradation with reported gene lead,,DN676,GENETIC,10.3389/fmicb.2022.993721,Database DOI record for diquat degradation by Meyerozyma guilliermondii,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial degradation with a gene lead; exact transformation products are not standardized in the current source table.
Emamectin benzoate,Aeromonas taiwanensis ZJB-18044 Emamectin benzoate degradation evidence,Aeromonas taiwanensis ZJB-18044,PARTIAL,1,Emamectin benzoate,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1007/s10532-020-09909-8,Database DOI record for emamectin benzoate degradation by Aeromonas taiwanensis,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial degradation; exact products are not standardized in the current source table.
Fenhexamid,Serratia sarumanii strain GBS19 Fenhexamid degradation evidence,Serratia sarumanii strain GBS19,PARTIAL,1,Fenhexamid,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1007/s10532-025-10144-2,Database DOI record for fenhexamid degradation by Serratia sarumanii,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial degradation; exact products are not standardized in the current source table.
Fluazinam,Paenibacillus polymyxa Fluazinam degradation evidence,Paenibacillus polymyxa,PARTIAL,1,Fluazinam,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1016/j.ecoenv.2018.10.093,Database DOI record for fluazinam degradation by Paenibacillus polymyxa,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial degradation; exact products are not standardized in the current source table.
Haloxyfop,Myrothecium verrucaria Haloxyfop degradation evidence,Myrothecium verrucaria,PARTIAL,1,Haloxyfop,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1016/j.scitotenv.2024.178012,Database DOI record for haloxyfop degradation by Myrothecium verrucaria,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial degradation; exact products are not standardized in the current source table.
Heptachlor,Shigella sp. Heptachlor degradation evidence,Shigella sp.,PARTIAL,1,Heptachlor,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.2166/wst.2018.127,Database DOI record for heptachlor degradation by Shigella sp.,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial degradation; exact transformation products are not standardized in the current source table.
