pesticide,pathway_name,microorganism,completeness,step_order,substrate,product,reaction_label,enzyme,gene,evidence_type,doi,reference_title,source_pdf,evidence_note
Etoxazole,Paracoccus versutus Y4 etoxazole transformation evidence,Paracoccus versutus Y4,PARTIAL,1,Etoxazole,Etoxazole monooxygenase/dehydrogenase/hydrolase transformation products,"Monooxygenase, dehydrogenase, and hydrolase-associated transformation",Monooxygenase; dehydrogenase; hydrolase,,WHOLE_CELL,10.1016/j.jhazmat.2025.138448,Database DOI record for etoxazole degradation by Paracoccus versutus Y4,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports enzyme-class evidence for etoxazole degradation; exact metabolites are not standardized in the current source table.
Fenitrothion,Burkholderia sp. FDS-1 fenitrothion hydrolase pathway,Burkholderia sp. FDS-1,PARTIAL,1,Fenitrothion,Fenitrothion organophosphorus hydrolysis products,Organophosphorus hydrolase-mediated hydrolysis,Organophosphorus hydrolase,mpd,GENETIC,10.1007/s10532-005-7130-2,Database DOI record for mpd-associated fenitrothion degradation,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports mpd hydrolase-associated degradation; exact product names are kept conservative until metabolites are standardized in the source data.
Folpet,Bacillus subtilis C5 folpet esterase evidence,Bacillus subtilis C5,PARTIAL,1,Folpet,Folpet esterase hydrolysis products,Esterase-associated hydrolysis,Esterase B1,,WHOLE_CELL,10.1155/2014/863094,Database DOI record for folpet degradation by Bacillus subtilis C5,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports esterase/hydrolase evidence for folpet degradation; exact product names are not standardized in the current source table.
Imazethapyr,Pseudomonas sp. IM-4 imazethapyr degradation evidence,Pseudomonas sp. IM-4,PARTIAL,1,Imazethapyr,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1007/s00284-009-9442-7,Database DOI record for imazethapyr degradation by Pseudomonas sp. IM-4,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial degradation; exact transformation products are not stored in the current source table.
Prothioconazole,Candida and bacterial prothioconazole degradation evidence,Candida tropicalis strain W123; Enterobacter cloacae strain Y2625; Pseudomonas aeruginosa strain W313,PARTIAL,1,Prothioconazole,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1016/j.ecoenv.2020.111203,Database DOI record for prothioconazole degradation by microbial strains,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial degradation; exact products are not standardized in the current source table.
Cadusafos,Cadusafos-degrading isolate CadI/CadII evidence,Isolate CadI; Isolate CadII,PARTIAL,1,Cadusafos,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1016/j.femsec.2005.01.012,Database DOI record for cadusafos-degrading isolates,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial cadusafos degradation; exact transformation products are not stored in the current source table.
Chlorantraniliprole,Pseudomonas sp. GW13 chlorantraniliprole amidase evidence,Pseudomonas sp. GW13,PARTIAL,1,Chlorantraniliprole,Chlorantraniliprole amidase transformation products,Amidase-associated hydrolysis,Amidase,,WHOLE_CELL,10.3390/bioengineering6040106,Database DOI record for chlorantraniliprole degradation by Pseudomonas sp. GW13,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports amidase-associated degradation; exact product labels are conservative until metabolites are standardized in the source table.
Dicofol,Trichoderma longbrachiatum dicofol cellulase-associated evidence,Trichoderma longbrachiatum,PARTIAL,1,Dicofol,Dicofol enzymatic transformation products,Cellulase-associated enzymatic transformation,Cellulase,,PURIFIED_ENZYME,10.1016/j.jes.2014.12.023,Database DOI record for enzymatic dicofol degradation by Trichoderma longbrachiatum,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports enzymatic dicofol degradation; exact metabolites are not standardized in the current source table.
Ethion,Azospirillum and Pseudomonas ethion degradation evidence,Azospirillum species; Pseudomonas species,PARTIAL,1,Ethion,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1016/j.femsle.2004.09.010,Database DOI record for ethion degradation by Azospirillum and Pseudomonas species,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial ethion degradation; exact products are not stored in the current source table.
Azinphos-Methyl,Pseudomonas fluorescens DSM 1976 azinphos-methyl degradation evidence,Pseudomonas fluorescens DSM 1976,PARTIAL,1,Azinphos-Methyl,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1021/jf00121a026,Database DOI record for azinphos-methyl degradation by Pseudomonas fluorescens DSM 1976,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial degradation; exact transformation products are not standardized in the current source table.
