pesticide,pathway_name,microorganism,completeness,step_order,substrate,product,reaction_label,enzyme,gene,evidence_type,doi,reference_title,source_pdf,evidence_note
Teflubenzuron,Teflubenzuron transformation by microbial strains,Bacillus brevis 625; Alcaligenes sp. 1431; Pseudomonas sp. 10W; Acinetobacter calcoaceticus 21,PARTIAL,1,Teflubenzuron,"2,6-difluorobenzamide",Hydrolytic cleavage of phenylurea bridge,Unassigned microbial hydrolysis activity,,METABOLITE,10.1081/PFC-100106185,Transformation of the insecticide teflubenzuron by microorganisms,Transformation of the insecticide teflubenzuron by microorganisms..pdf,"TLC, HPLC, MS and 19F NMR identified 2,6-difluorobenzamide as a microbial transformation product."
Teflubenzuron,Teflubenzuron transformation by microbial strains,Bacillus brevis 625; Alcaligenes sp. 1431; Pseudomonas sp. 10W; Acinetobacter calcoaceticus 21,PARTIAL,2,"2,6-difluorobenzamide","2,6-difluorobenzoic acid",Amide hydrolysis,Unassigned microbial hydrolysis activity,,METABOLITE,10.1081/PFC-100106185,Transformation of the insecticide teflubenzuron by microorganisms,Transformation of the insecticide teflubenzuron by microorganisms..pdf,"2,6-difluorobenzoic acid was identified and confirmed with a reference compound and 19F NMR."
Teflubenzuron,Teflubenzuron transformation by microbial strains,Bacillus brevis 625; Alcaligenes sp. 1431; Pseudomonas sp. 10W; Acinetobacter calcoaceticus 21,PARTIAL,3,Teflubenzuron,"2,4-difluoro-3,5-dichloroaniline",Phenylurea-bridge cleavage,Unassigned microbial transformation activity,,METABOLITE,10.1081/PFC-100106185,Transformation of the insecticide teflubenzuron by microorganisms,Transformation of the insecticide teflubenzuron by microorganisms..pdf,"2,4-difluoro-3,5-dichloroaniline was identified by mass spectrometry as a minor product."
Teflubenzuron,Teflubenzuron transformation by microbial strains,Bacillus brevis 625; Alcaligenes sp. 1431; Pseudomonas sp. 10W; Acinetobacter calcoaceticus 21,PARTIAL,4,Teflubenzuron,"1,3-bis(2,4-difluoro-3,5-dichlorophenyl)urea",Condensation/transformation product formation,Unassigned microbial transformation activity,,METABOLITE,10.1081/PFC-100106185,Transformation of the insecticide teflubenzuron by microorganisms,Transformation of the insecticide teflubenzuron by microorganisms..pdf,The condensed product was identified by high-resolution MS.
Vinclozolin,Vinclozolin chemical and biological transformation,Mixed bacterial cultures MA and MB; Corynebacterium sp.,PARTIAL,1,Vinclozolin,"2-[[(3,5-dichlorophenyl)carbamoyl]oxy]-2-methyl-3-butenoic acid",Oxazolidinedione-ring opening,Unassigned transformation activity,,METABOLITE,,Chemical and biological transformation of the fungicide vinclozolin,Chemical and biological transformation of the fungicide vinclozolin..pdf,The paper reports this open-form butenoic acid derivative as a vinclozolin transformation product.
Vinclozolin,Vinclozolin chemical and biological transformation,Mixed bacterial cultures MA and MB; Corynebacterium sp.,PARTIAL,2,"2-[[(3,5-dichlorophenyl)carbamoyl]oxy]-2-methyl-3-butenoic acid","3,5-dichloroaniline",Anilide/aniline product formation,Unassigned transformation activity,,METABOLITE,,Chemical and biological transformation of the fungicide vinclozolin,Chemical and biological transformation of the fungicide vinclozolin..pdf,"Mixed bacterial cultures converted vinclozolin through compound 2 toward 3,5-dichloroaniline."
Vinclozolin,Vinclozolin chemical and biological transformation,Mixed bacterial cultures MA and MB; Corynebacterium sp.,PARTIAL,3,Vinclozolin,"3',5'-dichloro-2-hydroxy-2-methylbut-3-enanilide",Alternative ring-opening transformation,Unassigned transformation activity,,METABOLITE,,Chemical and biological transformation of the fungicide vinclozolin,Chemical and biological transformation of the fungicide vinclozolin..pdf,The paper reports a second pathway through the enanilide transformation product.
Vinclozolin,Vinclozolin chemical and biological transformation,Mixed bacterial cultures MA and MB; Corynebacterium sp.,PARTIAL,4,"3',5'-dichloro-2-hydroxy-2-methylbut-3-enanilide","3,5-dichloroaniline",Aniline product formation,Unassigned transformation activity,,METABOLITE,,Chemical and biological transformation of the fungicide vinclozolin,Chemical and biological transformation of the fungicide vinclozolin..pdf,"The paper reports conversion of the enanilide product toward 3,5-dichloroaniline."
Vinclozolin,Vinclozolin biodegradation by Rhodococcus sp. T1-1,Rhodococcus sp. T1-1,PARTIAL,1,Vinclozolin,"3,5-dichloroaniline",Biodegradation to dichloroaniline metabolite,Unassigned activity,,METABOLITE,PMID: 18309282,"Microbial biodegradation and toxicity of vinclozolin and its toxic metabolite 3,5-dichloroaniline","Microbial biodegradation and toxicity of vinclozolin and its toxic metabolite 3,5-dichloroaniline..pdf","3,5-dichloroaniline accumulated during vinclozolin degradation by Rhodococcus sp. T1-1."
Vinclozolin,Vinclozolin biodegradation by Rhodococcus sp. T1-1,Rhodococcus sp. T1-1,PARTIAL,2,"3,5-dichloroaniline",Phenol,Dichloroaniline degradation,Unassigned activity,,METABOLITE,PMID: 18309282,"Microbial biodegradation and toxicity of vinclozolin and its toxic metabolite 3,5-dichloroaniline","Microbial biodegradation and toxicity of vinclozolin and its toxic metabolite 3,5-dichloroaniline..pdf","GC/MS detected phenol from degraded 3,5-dichloroaniline."
