pesticide,pathway_name,microorganism,completeness,step_order,substrate,product,reaction_label,enzyme,gene,evidence_type,doi,reference_title,source_pdf,evidence_note
Indoxacarb,Bacillus cereus Indoxacarb degradation evidence,Bacillus cereus,PARTIAL,1,Indoxacarb,Indoxacarb carboxylesterase hydrolysis products,Carboxylesterase-associated hydrolysis,Carboxylesterase,,WHOLE_CELL,10.1016/j.bjm.2016.01.012,Database DOI record for indoxacarb degradation by Bacillus cereus,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports carboxylesterase-associated degradation; exact product names are not standardized in the current source table.
Pyrimethanil,Serratia sarumanii SBS19 Pyrimethanil degradation evidence,Serratia sarumanii SBS19,PARTIAL,1,Pyrimethanil,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1007/s10532-025-10144-2,Database DOI record for pyrimethanil degradation by Serratia sarumanii,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial degradation; exact transformation products are not standardized in the current source table.
Thiabendazole,Sphingomonas phylotype (B13) Thiabendazole degradation evidence,Sphingomonas phylotype (B13),PARTIAL,1,Thiabendazole,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1007/s00253-017-8128-5,Database DOI record for thiabendazole degradation by Sphingomonas phylotype B13,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial degradation; exact transformation products are not standardized in the current source table.
Carbosulfan,Bacillus licheniformis strain B-1 Carbosulfan degradation evidence,Bacillus licheniformis strain B-1,PARTIAL,1,Carbosulfan,Carbosulfan phosphodiesterase-associated products,Phosphodiesterase-associated transformation,Phosphodiesterase,,WHOLE_CELL,10.1007/s10532-020-09899-7,Database DOI record for carbosulfan degradation by Bacillus licheniformis strain B-1,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports phosphodiesterase-associated degradation; exact metabolites are not standardized in the current source table.
Propoxur,Arthrobacter sp. Propoxur degradation evidence,Arthrobacter sp.,PARTIAL,1,Propoxur,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1080/03601239209372800,Database DOI record for propoxur degradation by Arthrobacter sp.,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial degradation; exact transformation products are not standardized in the current source table.
Acibenzolar-S-methyl,Bacillus subtilis GB03; Bacillus subtilis FZB24; Bacillus amyloliquefaciens IN937a; Bacillus pumilus SE34 Acibenzolar-S-methyl degradation evidence,Bacillus subtilis GB03; Bacillus subtilis FZB24; Bacillus amyloliquefaciens IN937a; Bacillus pumilus SE34,PARTIAL,1,Acibenzolar-S-methyl,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1007/s10532-011-9509-6,Database DOI record for acibenzolar-S-methyl degradation by plant growth-promoting Bacillus strains,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,"This DOI is present in pesticide_data.xlsx. The database supports microbial degradation but the reviewed source data does not provide a curated product arrow, so the pathway is represented conservatively."
Penthiopyrad,Bacillus subtilis PCM 486; Trichoderma harzianum KKP 534 Penthiopyrad degradation evidence,Bacillus subtilis PCM 486; Trichoderma harzianum KKP 534,PARTIAL,1,Penthiopyrad,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.3390/molecules25061421,Database DOI record for penthiopyrad degradation by Bacillus subtilis and Trichoderma harzianum,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial degradation; exact microbial transformation products are not standardized in the current source table.
Propargite,Pseudomonas putida SPR 13; Pseudomonas putida SPR 8 Propargite degradation evidence,Pseudomonas putida SPR 13; Pseudomonas putida SPR 8,PARTIAL,1,Propargite,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1016/j.jhazmat.2009.09.050,Database DOI record for propargite degradation by Pseudomonas putida,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial degradation; the source is represented conservatively because product identification was not standardized in the current database table.
Fluxapyroxad,Saccharomyces cerevisiae Fluxapyroxad degradation evidence,Saccharomyces cerevisiae,PARTIAL,1,Fluxapyroxad,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1038/s41598-020-78177-6,Database DOI record for fluxapyroxad degradation by Saccharomyces cerevisiae,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports biological degradation; exact transformation products are not standardized in the current source table.
Propamocarb,Paenibacillus polymyxa Propamocarb degradation evidence,Paenibacillus polymyxa,PARTIAL,1,Propamocarb,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1016/j.ecoenv.2018.10.093,Database DOI record for propamocarb degradation by Paenibacillus polymyxa,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial degradation; exact transformation products are not standardized in the current source table.
