pesticide,pathway_name,microorganism,completeness,step_order,substrate,product,reaction_label,enzyme,gene,evidence_type,doi,reference_title,source_pdf,evidence_note
Buprofezin,Rhodococcus qingshengii YL-1 buprofezin catabolic pathway,Rhodococcus qingshengii YL-1,PARTIAL,1,Buprofezin,"2-tert-butylimino-3-isopropyl-1,3,5-thiadiazinan-4-one (2-BI)","Dihydroxylation, aromatic-ring cleavage, and amide-bond cleavage",Rieske nonheme iron oxygenase; dehydrogenase; aromatic ring-cleavage enzyme,RHO; bfzB; bfzC,GENETIC,10.1128/AEM.00868-17,Molecular mechanism and genetic determinants of buprofezin degradation,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The pathway links buprofezin transformation by Rhodococcus qingshengii YL-1 with the bfz gene cluster and detected upstream catabolic product 2-BI.
Acetochlor,Bacillus sp. ACD-9 acetochlor degradation pathway,Bacillus sp. ACD-9,PARTIAL,1,Acetochlor,2-chloro-N-(2-methyl-6-ethylphenyl) acetamide (CMEPA),Chloroacetamide transformation,,,METABOLITE,10.1007/s13205-020-2056-2,Degradation of acetochlor and beneficial effect of phosphate-solubilizing Bacillus sp. ACD-9 on maize seedlings,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The source reports LC-MS identification of CMEPA as the probable acetochlor degradation product.
Diphenylamine,Burkholderia and Ralstonia diphenylamine dioxygenation pathway,Burkholderia sp. JS667; Ralstonia sp. JS668,PARTIAL,1,Diphenylamine,Aniline + catechol,Dioxygenation and spontaneous rearomatization,Multicomponent ring-hydroxylating dioxygenase,dpaAa; tdnC,GENETIC,10.1128/AEM.02198-08,Microbial metabolism of diphenylamine,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The source links diphenylamine conversion to aniline and catechol with ring-hydroxylating dioxygenase genes.
Aldrin and Dieldrin,Mucor racemosus DDF dieldrin degradation pathway,Mucor racemosus strain DDF,PARTIAL,1,Dieldrin,Aldrin trans-diol,Fungal transformation,,,METABOLITE,10.1584/jpestics.J18-03,Biodegradability and biodegradation pathways of chlorinated cyclodiene insecticides by soil fungi,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The source reports dieldrin degradation by Mucor racemosus strain DDF with production of aldrin trans-diol.
Aldrin and Dieldrin,Mucor racemosus DDF dieldrin degradation pathway,Mucor racemosus strain DDF,PARTIAL,2,Aldrin trans-diol,Aldrin trans-diol exo- and endo-phosphates,Phosphate metabolite formation,,,METABOLITE,10.1584/jpestics.J18-03,Biodegradability and biodegradation pathways of chlorinated cyclodiene insecticides by soil fungi,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The source reports further conversion of aldrin trans-diol to exo- and endo-phosphate metabolites.
Parathion-Methyl,Bacillus strain C5 parathion-methyl hydrolysis pathway,Acinetobacter radioresistens USTB-04,PARTIAL,1,Parathion-Methyl,p-nitrophenol + dimethyl thiophosphate,Phosphotriester hydrolysis,Hydrolase,,WHOLE_CELL,10.1016/S1001-0742(07)60205-8,Identification of a marine Bacillus strain C5 and parathion-methyl degradation characteristics,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The row captures the first hydrolysis step generally reported for parathion-methyl degradation.
Pendimethalin,Bacillus subtilis Y3 pendimethalin nitroreduction pathway,Bacillus subtilis Y3,PARTIAL,1,Pendimethalin,Reduced pendimethalin metabolite,Nitro-group reduction,Pendimethalin nitroreductase,pnr,GENETIC,10.1128/AEM.01771-16,Identification of a pendimethalin nitroreductase from Bacillus subtilis Y3,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database reference supports the pnr nitroreductase step; the product label is kept conservative because the current database source does not store a more specific metabolite name.
Dicamba,Pseudomonas maltophilia DI-6 dicamba O-demethylation pathway,Pseudomonas maltophilia DI-6,PARTIAL,1,Dicamba,"3,6-dichlorosalicylic acid",O-demethylation,Dicamba monooxygenase,ddmA; ddmB; ddmC,GENETIC,10.1128/aem.63.4.1623-1626.1997,Dicamba O-demethylase genes from Pseudomonas maltophilia DI-6,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,"This DOI is present in pesticide_data.xlsx. Dicamba O-demethylase converts dicamba to 3,6-dichlorosalicylic acid."
Flonicamid,Alcaligenes faecalis CGMCC 17553 flonicamid nitrile hydrolysis pathway,Alcaligenes faecalis CGMCC 17553,PARTIAL,1,Flonicamid,N-(4-trifluoromethylnicotinoyl)glycinamide (TFNG-AM),Nitrile hydration / amide formation,Nitrile hydratase / amidase system,NitA; NitB; NitC; NitD; NitE,GENETIC,10.1021/acs.jafc.9b04245,Flonicamid biodegradation genes in Alcaligenes faecalis CGMCC 17553,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx and PBDB_master_with_ids.xlsx. The step is represented as the first database-supported nitrile-hydrolysis transformation.
Iprodione,Paenarthrobacter sp. YJN-5 iprodione hydrolase pathway,Paenarthrobacter sp. YJN-5,PARTIAL,1,Iprodione,Iprodione hydantoin-ring hydrolysis product,Amide/hydantoin-ring hydrolysis,IpaH amidase,ipaH,GENETIC,10.1128/AEM.01150-18,Identification of iprodione catabolic amidase IpaH in Paenarthrobacter sp. YJN-5,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx and PBDB_master_with_ids.xlsx. The product name is kept conservative because the current database source stores the protein/gene evidence but not a standardized metabolite name.
Sulfoxaflor,Aminobacter sp. CGMCC 1.17253 sulfoxaflor nitrile hydration pathway,Aminobacter sp. CGMCC 1.17253,PARTIAL,1,Sulfoxaflor,Sulfoxaflor amide,Nitrile hydration,Nitrile hydratase,nhaseA; nhaseB,GENETIC,10.1021/acs.jafc.9b06668,Nitrile hydratase-mediated sulfoxaflor degradation by Aminobacter sp. CGMCC 1.17253,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx and PBDB_master_with_ids.xlsx. The row represents the database-backed nitrile hydratase transformation of sulfoxaflor.
