pesticide,pathway_name,microorganism,completeness,step_order,substrate,product,reaction_label,enzyme,gene,evidence_type,doi,reference_title,source_pdf,evidence_note
Esfenvalerate,Bacillus sp. CBMAI2052 esfenvalerate carboxylesterase evidence,Bacillus sp. CBMAI2052,PARTIAL,1,Esfenvalerate,Pyrethroid ester-cleavage products,Carboxylesterase-associated hydrolysis,Carboxylesterases,,WHOLE_CELL,10.21577/0103-5053.20200051,Database DOI record for esfenvalerate degradation by Brazilian marine-derived bacteria,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports bacterial esfenvalerate degradation with carboxylesterase evidence; exact metabolite names are not standardized in the current source table.
Metalaxyl,Candida tropicalis metalaxyl degradation evidence,Candida tropicalis,PARTIAL,1,Metalaxyl,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1007/s00284-020-02121-0,Database DOI record for metalaxyl degradation by Candida tropicalis,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The current database source supports microbial degradation but does not store named transformation products.
Dithiocarbamate,Pseudomonas dithiocarbamate degradation evidence,Pseudomonas otitidis strain TD-8; Pseudomonas stutzeri strain TD-18,PARTIAL,1,Dithiocarbamate,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1007/s11356-022-22731-4,Database DOI record for dithiocarbamate degradation by Pseudomonas strains,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports whole-cell degradation; no exact transformation product is stored in the current source table.
Cypermethrin,Lysinibacillus cresolivuorans HIS7 cypermethrin degradation evidence,Lysinibacillus cresolivuorans strain HIS7,PARTIAL,1,Cypermethrin,Pyrethroid degradation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.3390/plants10091903,Database DOI record for cypermethrin degradation by Lysinibacillus cresolivuorans HIS7,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports cypermethrin biodegradation; exact metabolites are not standardized in the current source table.
Thiacloprid,Ensifer adhaerens TMX-23 thiacloprid nitrile-hydration evidence,Ensifer adhaerens TMX-23,PARTIAL,1,Thiacloprid,Thiacloprid transformation products not resolved in current database source,Nitrile-hydratase-associated transformation,Nitrile hydratase,nhcA; nhpA; nhnR/nhnS; nhnH/nhnO,GENETIC,10.1111/jam.15172,Database DOI record for thiacloprid degradation by Ensifer adhaerens TMX-23,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports genetic nitrile-hydratase-associated evidence; exact product names are not stored in the current source table.
Propylene oxide,Xanthobacter Py2 propylene oxide oxidoreductase evidence,Xanthobacter strain Py2,PARTIAL,1,Propylene oxide,Propylene oxide oxidation products,Pyridine nucleotide-disulfide oxidoreductase-associated transformation,Pyridine nucleotide-disulfide oxidoreductase,X.ORF3,PURIFIED_ENZYME,10.1128/jb.178.22.6644-6646.1996,Database DOI record for Xanthobacter Py2 propylene oxide oxidoreductase,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports enzymatic oxidoreductase evidence; the product label is conservative because exact metabolites are not standardized in the current source table.
Dichlobenil,Nocardia sp. DDN dichlobenil degradation evidence,Nocardia sp. DDN,PARTIAL,1,Dichlobenil,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1016/j.envpol.2009.06.003,Database DOI record for dichlobenil degradation by Nocardia sp. DDN,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial degradation; exact transformation products are not stored in the current source table.
Tebuconazole,Trametes versicolor tebuconazole laccase evidence,Trametes versicolor ATCC 42530,PARTIAL,1,Tebuconazole,Oxidative transformation products not resolved in current database source,Laccase-associated oxidative degradation,Laccase,,WHOLE_CELL,10.1016/j.ecoenv.2020.110419,Database DOI record for tebuconazole degradation by Trametes versicolor,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports fungal laccase-associated degradation; exact intermediates are not standardized in the current source table.
Fludioxonil,Pseudomonas and consortium fludioxonil degradation evidence,Pseudomonas sp.; Ochrobactrum sp.; Comamonas sp.,PARTIAL,1,Fludioxonil,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1016/j.jhazmat.2020.122545,Database DOI record for fludioxonil degradation by bacterial isolates,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports bacterial degradation; no exact product names are stored in the current source table.
Methomyl,Aminobacter aminovorans MDW-2 methomyl hydrolase pathway,Aminobacter aminovorans MDW-2,PARTIAL,1,Methomyl,Methomyl C-N hydrolysis products,Carbamate C-N bond hydrolysis,Carbamate C-N hydrolase AmeH,AmeH,GENETIC,10.1128/AEM.02005-20.,Database DOI record for methomyl hydrolase AmeH,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports AmeH carbamate C-N hydrolase evidence; the product label is conservative until exact product names are standardized in the source data.
