pesticide,pathway_name,microorganism,completeness,step_order,substrate,product,reaction_label,enzyme,gene,evidence_type,doi,reference_title,source_pdf,evidence_note
Glufosinate-Ammonium,Initial bacterial transformations of phosphinothricin (glufosinate),Soil bacterial isolates; Rhodococcus sp.,PARTIAL,1,Glufosinate,2-oxo-4-[(hydroxy)(methyl)phosphinoyl]butyric acid,Transamination / oxidative deamination,PPT transaminase / PPT oxidase; enzyme not genetically assigned,,METABOLITE,10.1128/aem.55.3.711-716.1989,Initial steps in the degradation of phosphinothricin (glufosinate) by soil bacteria,Initial steps in the degradation of phosphinothricin (glufosinate) by soil bacteria..pdf,The paper reports bacterial transformation of phosphinothricin to the corresponding 2-oxo acid by transamination in multiple strains and oxidative deamination in Rhodococcus sp.
Glufosinate-Ammonium,Initial bacterial transformations of phosphinothricin (glufosinate),Soil bacterial isolates,PARTIAL,2,Glufosinate,N-acetyl-PPT,N-acetylation,PPT N-acetyltransferase; enzyme not genetically assigned,,METABOLITE,10.1128/aem.55.3.711-716.1989,Initial steps in the degradation of phosphinothricin (glufosinate) by soil bacteria,Initial steps in the degradation of phosphinothricin (glufosinate) by soil bacteria..pdf,The paper reports acetyltransferase activity synthesizing N-acetyl-PPT from phosphinothricin and acetyl-CoA.
Quintozene,Pentachloronitrobenzene biodegradation by Arthrobacter nicotianae DH19,Arthrobacter nicotianae DH19,PARTIAL,1,Pentachloronitrobenzene (PCNB),"2,3,4,5,6-pentachloroaniline",Nitro reduction,Nitroreductase; enzyme not genetically assigned,,METABOLITE,10.1111/lam.12476,Biodegradation of pentachloronitrobenzene by Arthrobacter nicotianae DH19,Biodegradation of pentachloronitrobenzene by Arthrobacter nicotianae DH19..pdf,GC-MS/MS identified pentachloroaniline among PCNB metabolites and the paper deduced nitroreduction as the initial transformation.
Quintozene,Pentachloronitrobenzene biodegradation by Arthrobacter nicotianae DH19,Arthrobacter nicotianae DH19,PARTIAL,2,"2,3,4,5,6-pentachloroaniline","3,5-dichloroaniline",Stepwise dechlorination,Dechlorination activity; enzyme not genetically assigned,,PROPOSED,10.1111/lam.12476,Biodegradation of pentachloronitrobenzene by Arthrobacter nicotianae DH19,Biodegradation of pentachloronitrobenzene by Arthrobacter nicotianae DH19..pdf,"3,5-dichloroaniline was identified as a metabolite and placed in the authors' proposed PCNB biodegradation pathway."
Quintozene,Pentachloronitrobenzene biodegradation by Arthrobacter nicotianae DH19,Arthrobacter nicotianae DH19,PARTIAL,3,"3,5-dichloroaniline",Aniline,Dechlorination,Dechlorination activity; enzyme not genetically assigned,,PROPOSED,10.1111/lam.12476,Biodegradation of pentachloronitrobenzene by Arthrobacter nicotianae DH19,Biodegradation of pentachloronitrobenzene by Arthrobacter nicotianae DH19..pdf,Aniline was identified as a metabolite and placed downstream of dichloroaniline in the proposed DH19 pathway.
Quintozene,Pentachloronitrobenzene biodegradation by Arthrobacter nicotianae DH19,Arthrobacter nicotianae DH19,PARTIAL,4,Aniline,Catechol,Aromatic hydroxylation,Aniline hydroxylation activity; enzyme not genetically assigned,,PROPOSED,10.1111/lam.12476,Biodegradation of pentachloronitrobenzene by Arthrobacter nicotianae DH19,Biodegradation of pentachloronitrobenzene by Arthrobacter nicotianae DH19..pdf,Catechol was identified as a metabolite and the paper states that aniline is further degraded to catechol.
Quintozene,Pentachloronitrobenzene biodegradation by Arthrobacter nicotianae DH19,Arthrobacter nicotianae DH19,PARTIAL,5,Catechol,Adipic acid,Ring cleavage / downstream oxidation,Catechol ring-cleavage activity; enzyme not genetically assigned,,PROPOSED,10.1111/lam.12476,Biodegradation of pentachloronitrobenzene by Arthrobacter nicotianae DH19,Biodegradation of pentachloronitrobenzene by Arthrobacter nicotianae DH19..pdf,Adipic acid was identified as a metabolite and the paper places it downstream of catechol before further metabolism.
Quintozene,Pentachloronitrobenzene biodegradation by Pseudomonas putida QTH3,Pseudomonas putida QTH3,PARTIAL,1,Pentachloronitrobenzene (PCNB),"2,3,4,5,6-pentachloroaniline",Nitro reduction,Intracellular PCNB transformation activity; enzyme not genetically assigned,,METABOLITE,10.1016/j.ecoenv.2019.109463,Effective biodegradation of pentachloronitrobenzene by a novel strain Pseudomonas putida QTH3 isolated from contaminated soil,Effective biodegradation of pentachloronitrobenzene by a novel strain Peudomonas putida QTH3 isolated from contaminated soil..pdf,The QTH3 study identified pentachloroaniline among PCNB metabolites and reported stronger intracellular than extracellular degradation activity.
Quintozene,Pentachloronitrobenzene biodegradation by Pseudomonas putida QTH3,Pseudomonas putida QTH3,PARTIAL,2,Pentachloronitrobenzene (PCNB),Pentachlorothioanisole,Thioanisole formation,Intracellular PCNB transformation activity; enzyme not genetically assigned,,METABOLITE,10.1016/j.ecoenv.2019.109463,Effective biodegradation of pentachloronitrobenzene by a novel strain Pseudomonas putida QTH3 isolated from contaminated soil,Effective biodegradation of pentachloronitrobenzene by a novel strain Peudomonas putida QTH3 isolated from contaminated soil..pdf,Pentachlorothioanisole was identified among PCNB metabolites in the QTH3 degradation study.
Quintozene,Pentachloronitrobenzene biodegradation by Pseudomonas putida QTH3,Pseudomonas putida QTH3,PARTIAL,3,"2,3,4,5,6-pentachloroaniline","2,3,5,6-tetrachloroaniline",Dechlorination,Intracellular dechlorination activity; enzyme not genetically assigned,,PROPOSED,10.1016/j.ecoenv.2019.109463,Effective biodegradation of pentachloronitrobenzene by a novel strain Pseudomonas putida QTH3 isolated from contaminated soil,Effective biodegradation of pentachloronitrobenzene by a novel strain Peudomonas putida QTH3 isolated from contaminated soil..pdf,Tetrachloroaniline metabolites were identified and placed in the proposed QTH3 PCNB degradation pathway.
