pesticide,pathway_name,microorganism,completeness,step_order,substrate,product,reaction_label,enzyme,gene,evidence_type,doi,reference_title,source_pdf,evidence_note
Pymetrozine,Pymetrozine degradation by Pseudomonas sp. BYT-1,Pseudomonas sp. BYT-1,PARTIAL,1,Pymetrozine,"4-amino-6-methyl-4,5-dihydro-2H-[1,2,4]triazin-3-one (AMDT)",Oxidative hydrolysis of C=N double bond,Cell-free extract activity; enzyme not assigned in this paper,,METABOLITE,10.1021/acs.jafc.8b06155,Isolation and Characterization of the Pymetrozine-Degrading Strain Pseudomonas sp. BYT-1,Isolation and Characterization of the Pymetrozine-Degrading Strain Pseudomonas sp. BYT-1..pdf,HPLC/MS/MS identified AMDT and nicotinic acid; AMDT is shown as the direct cleavage product and nicotinic acid is represented through the nicotinaldehyde intermediate route.
Pymetrozine,Pymetrozine degradation by Pseudomonas sp. BYT-1,Pseudomonas sp. BYT-1,PARTIAL,2,Nicotinic acid,6-hydroxynicotinic acid,Hydroxylation,Unassigned hydroxylation activity,,METABOLITE,10.1021/acs.jafc.8b06155,Isolation and Characterization of the Pymetrozine-Degrading Strain Pseudomonas sp. BYT-1,Isolation and Characterization of the Pymetrozine-Degrading Strain Pseudomonas sp. BYT-1..pdf,6-hydroxynicotinic acid was detected as an intermediate during nicotinic acid degradation.
Pymetrozine,Pymetrozine PyzH hydrolase reaction,Pseudomonas sp. BYT-1,PARTIAL,1,Pymetrozine,Nicotinaldehyde,C=N double-bond hydrolysis,Pymetrozine hydrolase PyzH,pyzH,PURIFIED_ENZYME,10.1111/1462-2920.15557,A novel hydrolase PyzH catalyses the cleavage of C=N double bond for pymetrozine degradation in Pseudomonas sp. BYT-1,A novel hydrolase PyzH catalyses the cleavage of C=N double bond for pymetrozine degradation in Pseudomonas sp. BYT-1..pdf,pyzH disruption/complementation and purified PyzH enzyme assays support the initial hydrolysis step; AMDT is the co-product of this cleavage and nicotinaldehyde is the pyridine-side intermediate.
Pymetrozine,Pymetrozine PyzH hydrolase reaction,Pseudomonas sp. BYT-1,PARTIAL,2,Nicotinaldehyde,Nicotinic acid,Aldehyde oxidation,Putative dehydrogenase,,PROPOSED,10.1111/1462-2920.15557,A novel hydrolase PyzH catalyses the cleavage of C=N double bond for pymetrozine degradation in Pseudomonas sp. BYT-1,A novel hydrolase PyzH catalyses the cleavage of C=N double bond for pymetrozine degradation in Pseudomonas sp. BYT-1..pdf,The paper explains that nicotinaldehyde can be rapidly converted to nicotinic acid in strain BYT-1; the enzyme is not assigned.
Triazophos,Triazophos degradation by Diaphorobacter sp. TPD-1,Diaphorobacter sp. TPD-1,PARTIAL,1,Triazophos,"1-phenyl-3-hydroxy-1,2,4-triazole (PHT) + O,O-diethyl phosphorothioic acid",P-O ester bond hydrolysis,Unassigned hydrolase activity,,METABOLITE,10.1007/s00284-010-9746-7,Identification of the Biochemical Degradation Pathway of Triazophos and its Intermediate in Diaphorobacter sp. TPD-1,Identification of the biochemical degradation pathway of triazophos and its intermediate in Diaphorobacter sp. TPD-1.pdf,"The paper proposes PHT and O,O-diethyl phosphorothioic acid from P-O ester-bond hydrolysis."
Triazophos,Triazophos degradation by Diaphorobacter sp. TPD-1,Diaphorobacter sp. TPD-1,PARTIAL,2,"1-phenyl-3-hydroxy-1,2,4-triazole (PHT)",(E)-1-formyl-2-phenyldiazene,Triazole-ring cleavage,Unassigned activity,,METABOLITE,10.1007/s00284-010-9746-7,Identification of the Biochemical Degradation Pathway of Triazophos and its Intermediate in Diaphorobacter sp. TPD-1,Identification of the biochemical degradation pathway of triazophos and its intermediate in Diaphorobacter sp. TPD-1.pdf,MS/MS identified (E)-1-formyl-2-phenyldiazene as a PHT degradation metabolite.
Triazophos,Triazophos degradation by Diaphorobacter sp. TPD-1,Diaphorobacter sp. TPD-1,PARTIAL,3,(E)-1-formyl-2-phenyldiazene,2-phenylhydrazinecarboxylic acid,Hydration,Unassigned activity,,METABOLITE,10.1007/s00284-010-9746-7,Identification of the Biochemical Degradation Pathway of Triazophos and its Intermediate in Diaphorobacter sp. TPD-1,Identification of the biochemical degradation pathway of triazophos and its intermediate in Diaphorobacter sp. TPD-1.pdf,The proposed pathway converts (E)-1-formyl-2-phenyldiazene to 2-phenylhydrazinecarboxylic acid by addition of water.
Triazophos,Triazophos degradation by Diaphorobacter sp. TPD-1,Diaphorobacter sp. TPD-1,PARTIAL,4,2-phenylhydrazinecarboxylic acid,Phenylhydrazine,Decarboxylation,Unassigned activity,,METABOLITE,10.1007/s00284-010-9746-7,Identification of the Biochemical Degradation Pathway of Triazophos and its Intermediate in Diaphorobacter sp. TPD-1,Identification of the biochemical degradation pathway of triazophos and its intermediate in Diaphorobacter sp. TPD-1.pdf,MS/MS identified phenylhydrazine; the paper proposes decarboxylation of 2-phenylhydrazinecarboxylic acid.
Triazophos,Triazophos hydrolysis by Burkholderia sp. SZL-1,Burkholderia sp. SZL-1,PARTIAL,1,Triazophos,"1-phenyl-3-hydroxy-1,2,4-triazole (PHT)",P-O bond hydrolysis,Triazophos hydrolase TrhA,trhA,PURIFIED_ENZYME,10.1093/femsle/fnw108,"Cloning, expression and mutation of a triazophos hydrolase gene from Burkholderia sp. SZL-1","Cloning, expression and mutation of a triazophos hydrolase gene from Burkholderia sp. SZL-1..pdf","trhA was cloned, expressed, purified, and classified as a hydrolase responsible for triazophos hydrolysis to PHT."
Thiamethoxam,Thiamethoxam transformation by Ensifer adhaerens TMX-23,Ensifer adhaerens TMX-23,PARTIAL,1,Thiamethoxam,Nitrosoimino thiamethoxam,Nitro reduction,Unassigned nitro-reduction activity,,METABOLITE,10.1007/s00253-012-4638-3,Biodegradation of the neonicotinoid insecticide thiamethoxam by the nitrogen-fixing and plant-growth-promoting rhizobacterium Ensifer adhaerens strain TMX-23,Biodegradation of the neonicotinoid insecticide thiamethoxam by the nitrogen-fixing and plant-growth-promoting rhizobacterium Ensifer adhaerens strain TMX-23..pdf,HPLC/MS analysis identified nitrosoimino thiamethoxam as a metabolite.
Thiamethoxam,Thiamethoxam transformation by Ensifer adhaerens TMX-23,Ensifer adhaerens TMX-23,PARTIAL,2,Thiamethoxam,Urea thiamethoxam,Nitroimino-group transformation,Unassigned transformation activity,,METABOLITE,10.1007/s00253-012-4638-3,Biodegradation of the neonicotinoid insecticide thiamethoxam by the nitrogen-fixing and plant-growth-promoting rhizobacterium Ensifer adhaerens strain TMX-23,Biodegradation of the neonicotinoid insecticide thiamethoxam by the nitrogen-fixing and plant-growth-promoting rhizobacterium Ensifer adhaerens strain TMX-23..pdf,HPLC/MS analysis identified urea thiamethoxam as a metabolite; paper states nitro reduction is the major pathway.
Abamectin,Abamectin B1a degradation by Stenotrophomonas maltophilia ZJB-14120,Stenotrophomonas maltophilia ZJB-14120,PARTIAL,1,Abamectin B1a,Metabolite A (m/z 886.8; C24-hydroxylated abamectin B1a),Hydroxylation of C24 methyl group,Unassigned activity,,METABOLITE,10.1016/j.resmic.2015.04.002,Degradation of abamectin by newly isolated Stenotrophomonas maltophilia ZJB-14120 and characterization of its abamectin-tolerance mechanism,Degradation of abamectin by newly isolated Stenotrophomonas maltophilia ZJB-14120 and characterization of its abamectin-tolerance mechanism..pdf,HPLC-ESI-MS identified metabolite A and the paper proposes hydroxylation of the C24 methyl group.
Abamectin,Abamectin B1a degradation by Stenotrophomonas maltophilia ZJB-14120,Stenotrophomonas maltophilia ZJB-14120,PARTIAL,2,Metabolite A (m/z 886.8),Metabolite B (m/z 709.0),C-O and C-C bond cleavage,Unassigned activity,,METABOLITE,10.1016/j.resmic.2015.04.002,Degradation of abamectin by newly isolated Stenotrophomonas maltophilia ZJB-14120 and characterization of its abamectin-tolerance mechanism,Degradation of abamectin by newly isolated Stenotrophomonas maltophilia ZJB-14120 and characterization of its abamectin-tolerance mechanism..pdf,The paper proposes degradation of metabolite A to metabolite B by C17-C21 C-O bond breakage and C19-C20 cleavage.
Abamectin,Abamectin B1a degradation by Stenotrophomonas maltophilia ZJB-14120,Stenotrophomonas maltophilia ZJB-14120,PARTIAL,3,Metabolite B (m/z 709.0),Metabolite C (m/z 485.0),Double-bond breakage and lactone-ring opening,Unassigned activity,,METABOLITE,10.1016/j.resmic.2015.04.002,Degradation of abamectin by newly isolated Stenotrophomonas maltophilia ZJB-14120 and characterization of its abamectin-tolerance mechanism,Degradation of abamectin by newly isolated Stenotrophomonas maltophilia ZJB-14120 and characterization of its abamectin-tolerance mechanism..pdf,"The paper proposes conversion of metabolite B to metabolite C by breaking C8-C9, cleaving C18-C19, and opening the lactone ring."
Abamectin,Abamectin B1a degradation by Stenotrophomonas maltophilia ZJB-14120,Stenotrophomonas maltophilia ZJB-14120,PARTIAL,4,Metabolite C (m/z 485.0),Metabolite D (m/z 292.7),C-O bond cleavage and demethylation,Unassigned activity,,METABOLITE,10.1016/j.resmic.2015.04.002,Degradation of abamectin by newly isolated Stenotrophomonas maltophilia ZJB-14120 and characterization of its abamectin-tolerance mechanism,Degradation of abamectin by newly isolated Stenotrophomonas maltophilia ZJB-14120 and characterization of its abamectin-tolerance mechanism..pdf,The paper proposes conversion of metabolite C to metabolite D by C10-C13 C-O bond breakage and demethylation.
