pesticide,decision,reason
Acibenzolar-S-methyl,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Carbosulfan,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Fluxapyroxad,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Indoxacarb,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Penthiopyrad,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Propamocarb,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Propargite,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Propoxur,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Pyrimethanil,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Thiabendazole,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
