pesticide,decision,reason
Captan,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Chlordane,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Cyprodinil,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Dimethomorph,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Diquat,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Emamectin benzoate,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Fenhexamid,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Fluazinam,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Haloxyfop,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Heptachlor,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
