pesticide,decision,reason
Cypermethrin,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx and/or PBDB_master_with_ids.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Dichlobenil,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx and/or PBDB_master_with_ids.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Dithiocarbamate,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx and/or PBDB_master_with_ids.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Esfenvalerate,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx and/or PBDB_master_with_ids.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Fludioxonil,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx and/or PBDB_master_with_ids.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Metalaxyl,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx and/or PBDB_master_with_ids.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Methomyl,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx and/or PBDB_master_with_ids.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Propylene oxide,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx and/or PBDB_master_with_ids.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Tebuconazole,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx and/or PBDB_master_with_ids.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
Thiacloprid,Integrated with conservative product label,Reference DOI is present in pesticide_data.xlsx and/or PBDB_master_with_ids.xlsx. Product names were kept conservative where exact metabolites are not standardized in the current source data.
