TYD07710.1	AAN64237.1	36.4	247	2.87e-35	120
TYD07710.1	ABE98171.1	36.0	247	2.87e-35	120
TYD07758.1	ABE98169.1	27.7	195	1.11e-13	60.8
TYD07758.1	AAN64242.1	27.7	195	2.79e-13	59.7
TYD07770.1	AMY25797.1	46.2	411	3.87e-103	303
TYD07819.1	QNH86249.1	28.8	400	1.06e-27	107
TYD07896.1	ACO52489.1	37.9	203	6.27e-43	135
TYD07980.1	ABD14379.1	52.8	248	4.43e-84	243
TYD07981.1	ABD14378.1	53.4	206	9.66e-83	238
TYD07982.1	AMY25797.1	42.5	402	1.74e-90	271
TYD08112.1	ABE98171.1	36.4	239	3.58e-41	134
TYD08112.1	AAN64237.1	36.0	239	7.09e-41	133
TYD08195.1	AAN64237.1	32.5	249	1.25e-35	119
TYD08195.1	ABE98171.1	32.1	249	1.75e-35	119
TYD08215.1	ATA52070.1	33.1	483	2.02e-57	189
TYD08215.1	QNH86248.1	31.7	420	1.17e-46	159
TYD08215.1	QNH86249.1	29.9	391	1.28e-38	136
TYD06509.1	AMY25797.1	31.7	438	4.88e-49	164
TYD05583.1	ABE98169.1	33.9	248	2.33e-29	103
TYD05583.1	AAN64242.1	33.5	248	4.74e-28	99.8
TYD05607.1	ABE98171.1	36.2	246	8.63e-36	120
TYD05607.1	AAN64237.1	35.8	246	1.70e-35	119
TYD03724.1	AAN64237.1	38.6	249	2.96e-37	124
TYD03724.1	ABE98171.1	38.2	249	1.62e-36	122
TYD03898.1	AMY25797.1	42.4	401	1.19e-87	263
TYD03937.1	ABE98169.1	37.8	246	7.37e-33	112
TYD03937.1	AAN64242.1	37.0	246	1.10e-31	109
TYD03960.1	ABE98171.1	29.0	262	1.05e-22	85.9
TYD03960.1	AAN64237.1	28.2	262	5.38e-22	84.0
TYD03054.1	ABE98171.1	34.4	253	2.82e-33	113
TYD03054.1	AAN64237.1	34.0	253	3.95e-33	113
TYD03094.1	sp|P80092.2|CBPX1_SACS2	33.6	378	1.49e-66	208
TYD03208.1	ABE98169.1	32.7	254	9.26e-26	94.0
TYD03208.1	AAN64242.1	32.3	254	4.84e-25	92.0
TYD03217.1	ABE98171.1	37.2	247	1.34e-47	150
TYD03217.1	AAN64237.1	36.8	247	2.67e-47	150
TYD03230.1	AAN64237.1	38.2	249	1.86e-46	147
TYD03230.1	ABE98171.1	37.8	249	1.04e-45	145
TYD03236.1	ABE98171.1	33.2	202	5.74e-32	110
TYD03236.1	AAN64237.1	32.7	202	8.04e-32	109
TYD03243.1	AAN64237.1	32.4	210	6.88e-25	91.7
TYD03243.1	ABE98171.1	31.9	210	9.57e-25	91.3
TYD01958.1	ABE98171.1	26.3	251	3.00e-21	81.6
TYD01958.1	AAN64237.1	25.9	251	5.75e-21	80.9
TYD00903.1	AMY25797.1	40.0	407	2.08e-77	237
