CP053544.1_116	AAN64237.1	27.9	251	9.66e-23	85.5
CP053544.1_124	AAN64242.1	36.4	250	3.81e-40	131
CP053544.1_124	ABE98169.1	36.0	250	4.16e-39	128
CP053544.1_124	AAN64237.1	32.4	253	6.62e-33	112
CP053544.1_124	ABE98171.1	32.4	253	1.82e-32	111
CP053544.1_256	AMY25797.1	38.0	411	2.65e-73	227
CP053544.1_257	ABD14379.1	46.8	235	6.73e-64	191
CP053544.1_258	ABD14378.1	46.5	198	8.75e-60	179
CP053544.1_334	ABE98171.1	38.2	246	1.79e-37	126
CP053544.1_334	AAN64237.1	38.2	246	4.92e-37	125
CP053544.1_334	AAN64242.1	31.7	249	9.11e-25	92.4
CP053544.1_334	ABE98169.1	32.1	249	9.11e-25	92.4
CP053544.1_347	ABD66587.1	23.1	169	7.23e-07	41.2
CP053544.1_422	sp|B5ZA76.1|PGDAE_HELPG	30.3	251	4.25e-39	132
CP053544.1_655	sp|P80092.2|CBPX1_SACS2	35.7	398	9.82e-71	220
CP053544.1_790	AAN64242.1	30.3	185	1.19e-20	80.1
CP053544.1_790	ABE98169.1	31.0	184	3.14e-20	79.0
CP053544.1_907	AGC74206.1	29.4	289	2.03e-28	106
CP053544.1_978	AMY25797.1	43.4	412	8.24e-93	277
CP053544.1_1212	AMY25797.1	35.1	399	1.25e-59	191
CP053544.1_1884	ABE98171.1	36.5	255	1.14e-43	140
CP053544.1_1884	AAN64237.1	36.1	255	1.61e-43	140
CP053544.1_2215	ABE98171.1	32.1	252	3.20e-19	78.6
CP053544.1_2215	AAN64237.1	31.7	252	5.89e-19	77.8
CP053544.1_2235	ABE98171.1	32.2	245	1.58e-38	127
CP053544.1_2235	AAN64237.1	32.2	245	4.41e-38	125
CP053544.1_2244	AMY25797.1	36.1	404	1.75e-60	194
CP053544.1_2315	AAR31035.1	25.7	408	2.99e-18	79.7
CP053544.1_2375	AAM76772.1	29.0	272	2.11e-27	100
CP053544.1_2396	ABE98169.1	37.1	248	2.04e-30	106
CP053544.1_2396	AAN64242.1	37.3	249	1.53e-29	103
CP053544.1_2435	ABE98171.1	47.4	247	1.17e-67	202
CP053544.1_2435	AAN64237.1	47.4	247	3.33e-67	201
CP053544.1_2573	AMY25797.1	38.5	405	1.87e-71	223
CP053544.1_2810	ABD14378.1	69.5	210	3.59e-103	291
CP053544.1_2811	ABD14379.1	70.4	247	3.08e-121	338
CP053544.1_2880	ATA52070.1	48.2	494	3.61e-134	390
CP053544.1_2880	UOU03443.1	32.1	436	5.29e-53	179
CP053544.1_2880	AXF48699.1	28.3	495	1.33e-38	139
CP053544.1_2880	AXF48699.1	28.3	495	1.33e-38	139
CP053544.1_2880	AXF48700.1	28.7	491	1.82e-38	138
CP053544.1_3022	AMY25797.1	37.0	427	3.58e-76	234
CP053544.1_3050	sp|P80092.2|CBPX1_SACS2	37.2	374	6.58e-62	197
CP053544.1_3345	sp|P80092.2|CBPX1_SACS2	37.0	351	2.58e-62	198
CP053544.1_3377	ABE98171.1	35.6	247	6.79e-39	129
CP053544.1_3377	AAN64237.1	35.2	247	1.34e-38	129
CP053544.1_3377	AAN64242.1	31.0	248	1.09e-26	97.4
CP053544.1_3377	ABE98169.1	31.0	248	2.93e-26	96.3
CP053544.1_3521	ABE98171.1	35.7	263	9.49e-30	104
CP053544.1_3521	AAN64237.1	35.4	263	1.85e-29	103
CP053544.1_3746	ABD14379.1	54.8	248	6.37e-86	248
CP053544.1_3747	ABD14378.1	58.3	216	1.65e-87	250
CP053544.1_3805	ABE98171.1	37.1	259	3.00e-35	119
CP053544.1_3805	AAN64237.1	36.3	259	1.63e-34	117
CP053544.1_4088	ATA52070.1	30.9	499	1.98e-38	138
