KXU98963.1	AAN64242.1	31.5	251	3.71e-22	84.7
KXU98963.1	ABE98169.1	31.5	251	9.80e-22	83.6
KXU99115.1	sp|P80092.2|CBPX1_SACS2	34.9	361	3.02e-70	218
KXU99019.1	AMY25797.1	40.4	413	2.26e-84	255
KXU99031.1	QHD56029.1	26.9	216	2.57e-11	54.7
KXU98818.1	ABE98171.1	34.6	246	2.70e-41	134
KXU98818.1	AAN64237.1	34.1	246	1.06e-40	132
KXU98832.1	AAN64237.1	36.7	251	1.95e-43	140
KXU98832.1	ABE98171.1	36.3	251	2.75e-43	139
KXU98566.1	AAN64242.1	29.9	251	1.27e-26	96.3
KXU98566.1	ABE98169.1	29.7	249	1.27e-26	96.3
KXU98686.1	sp|P80092.2|CBPX1_SACS2	39.6	389	6.14e-79	242
KXU98387.1	ABE98171.1	39.0	254	2.13e-50	158
KXU98387.1	AAN64237.1	39.0	254	5.99e-50	157
KXU98204.1	AGC74206.1	37.3	295	1.37e-50	164
KXU97474.1	ABE98171.1	35.6	250	2.32e-32	111
KXU97474.1	AAN64237.1	34.8	250	1.25e-31	109
KXU97098.1	AAN64242.1	41.2	250	2.90e-52	162
KXU97098.1	ABE98169.1	41.2	250	1.15e-51	161
KXU97098.1	ABE98171.1	36.3	245	1.72e-44	142
KXU97098.1	AAN64237.1	35.9	245	2.42e-44	142
KXU95099.1	AAN64237.1	29.0	169	3.13e-10	49.7
KXU95099.1	ABE98171.1	29.0	169	3.13e-10	49.7
KXU94945.1	AMY25797.1	33.7	401	2.78e-59	190
KXU93161.1	ABD14379.1	57.5	247	8.38e-89	255
KXU93162.1	ABD14378.1	65.2	207	2.63e-99	279
KXU90246.1	AAN64237.1	29.1	206	5.05e-18	73.2
KXU90246.1	ABE98171.1	28.6	206	6.94e-18	72.8
KXU89523.1	ABE98171.1	36.7	245	1.80e-42	137
KXU89523.1	AAN64237.1	36.3	245	3.56e-42	136
KXU88923.1	ATA52963.1	33.1	501	1.77e-47	164
KXU88923.1	UOU03443.1	31.2	443	1.24e-40	145
KXU88923.1	QNH86248.1	38.6	264	5.22e-36	131
KXU88923.1	AXF48700.1	27.6	496	3.24e-25	100
KXU88923.1	AXF48699.1	33.3	240	1.39e-24	98.2
KXU88923.1	AXF48699.1	33.3	240	1.39e-24	98.2
KXU88210.1	ACO52489.1	39.4	208	1.10e-31	106
KXU87386.1	AAR31035.1	23.6	258	1.87e-08	47.4
